,Portfolio,Cash
375,1019681.380048495,1019681.380048495
376,1019681.380048495,1019681.380048495
377,1019681.380048495,1019681.380048495
378,1019681.380048495,1019681.380048495
379,1019681.380048495,1019681.380048495
380,1019681.380048495,1019681.380048495
381,1019681.380048495,1019681.380048495
382,1019681.380048495,1019681.380048495
383,1019681.380048495,1019681.380048495
384,1019681.380048495,1019681.380048495
385,1019681.380048495,1019681.380048495
386,1019681.380048495,1019681.380048495
387,1019681.380048495,1019681.380048495
388,1019681.380048495,1019681.380048495
389,1019681.380048495,1019681.380048495
390,1019681.380048495,1019681.380048495
391,1019681.380048495,1019681.380048495
392,1019681.380048495,1019681.380048495
393,1019681.380048495,1019681.380048495
394,1019681.380048495,1019681.380048495
395,1019681.380048495,1019681.380048495
396,1019681.380048495,1019681.380048495
397,1019681.380048495,1019681.380048495
398,1019681.380048495,1019681.380048495
399,1019681.380048495,1019681.380048495
400,1019681.380048495,1019681.380048495
401,1019681.380048495,1019681.380048495
402,1019681.380048495,1019681.380048495
403,1019681.380048495,1019681.380048495
404,1019681.380048495,1019681.380048495
405,1019681.380048495,1019681.380048495
406,1019681.380048495,1019681.380048495
407,1019681.380048495,1019681.380048495
408,1019681.380048495,1019681.380048495
409,1019681.380048495,1019681.380048495
410,1019681.380048495,1019681.380048495
411,1019681.380048495,1019681.380048495
412,1019681.380048495,1019681.380048495
413,1019681.380048495,1019681.380048495
414,1019681.380048495,1019681.380048495
415,1019681.380048495,1019681.380048495
416,1019681.380048495,1019681.380048495
417,1019681.380048495,1019681.380048495
418,1019681.380048495,1019681.380048495
419,1019681.380048495,1019681.380048495
